baseMean,log2FoldChange,lfcSE,pvalue,padj
MSTRG.10123,2.28914001149083,2.30996601563403,0.705148430040299,2.20776256300718e-05,9.74877368466979e-05
MSTRG.10164,6.79068560311817,3.242875102722,0.461941943528628,2.52696206009174e-14,6.37051365229825e-13
MSTRG.10179,7.91900722089102,2.36487635988329,0.333959786653092,2.8973680146287e-14,7.2192753031165e-13
MSTRG.10284,5.8900489757268,2.71478139763569,0.371064169566124,3.68104738022664e-15,1.0691865047824e-13
MSTRG.10414,6.2511872732488,2.21154307076822,0.692773646044009,3.48510481483742e-05,0.000146127901830974
MSTRG.10416,38.3665835358507,6.98477488985527,0.788049141858137,1.04800868340925e-21,7.74840456402792e-20
MSTRG.10418,6.62275422308517,3.50829386622242,0.63137494331262,2.45231863809544e-10,3.08734009596015e-09
MSTRG.10419,14.1617424570505,4.58729933213442,0.689254132951188,1.87923175451172e-13,4.13736221253193e-12
MSTRG.10420,94.5253526208361,2.64394849738986,0.452008783651176,7.20321157044201e-11,9.9765461614596e-10
MSTRG.10445,1.46804329747943,2.55663438725008,0.632117298524637,7.86413629344863e-07,4.83427419859101e-06
MSTRG.1046,17.7157651670838,4.33198876790398,1.21312717764134,9.17986856873079e-07,5.55656706577655e-06
MSTRG.10470,6.61823136210408,2.19457998775424,0.405276543159149,1.57874376014342e-09,1.68942200690716e-08
MSTRG.10471,3.6473372449302,2.22965157066591,0.517573552328987,3.98364118466874e-07,2.60184364171811e-06
MSTRG.10495,1.45542389470423,2.31799323771773,0.5967072305547,2.14070282645942e-06,1.19409519526949e-05
MSTRG.10503,29.2519689307439,5.38282646883942,0.638473886517785,1.56699587239383e-19,8.96207034529149e-18
MSTRG.10506,7.60707420587299,3.03707251127499,0.649346016993151,2.89836338659164e-08,2.39989918045942e-07
MSTRG.10549,14.0121700539718,3.92946807199805,0.579750296418725,1.14358450775896e-13,2.60958027067959e-12
MSTRG.10553,36.0121156156946,2.20585327272584,0.563847920083215,2.29752752335562e-06,1.27180314742354e-05
MSTRG.10569,1.30854898996638,2.13288055237652,0.94676062177619,0.000648379055320495,0.00196450979104036
MSTRG.10616,65.4584740088792,4.75855586333302,0.436632213336355,9.9600349935478e-30,1.95659354095472e-27
MSTRG.10629,3.19182618677957,2.73454582601542,0.507662864315556,9.49847618389449e-10,1.06286746159022e-08
MSTRG.10652,18.1248792007911,2.15843272503944,0.370963639329676,1.62972805656415e-10,2.11526529499281e-09
MSTRG.10657,2.34297096117524,2.93819421508707,0.541532190364091,6.59416004508785e-10,7.63945652630918e-09
MSTRG.10667,14.8777760827739,2.15163778872538,0.730682651151244,8.82771063457333e-05,0.000334797635930134
MSTRG.10669,3.86421468135105,2.88019047428755,0.703166290487382,4.46393192258287e-07,2.88862711171085e-06
MSTRG.10671,3.91346187269129,2.25221041611792,0.715500094741088,3.7845998915382e-05,0.000157117886666166
MSTRG.10771,23.9196259447947,4.68504329253386,0.515219941608279,7.8355804385582e-22,5.88957565533328e-20
MSTRG.10780,17.582281405356,4.51059479371216,0.846248634258141,4.99958389782624e-10,5.92720348749872e-09
MSTRG.10840,13.0119719784259,2.55628662395692,0.278933489645208,8.4130628634543e-22,6.28876449043209e-20
MSTRG.10842,11.2187040588433,2.23317652868429,0.73865929318675,5.92260315774006e-05,0.000234482265413632
MSTRG.10854,2.60912006086467,2.56647773055985,0.522777627080698,1.39717124460101e-08,1.23698174375039e-07
MSTRG.10866,220.572458827479,5.52722891881935,0.545837121398258,1.90428622125197e-26,2.58982926090268e-24
MSTRG.10892,31.0503089275639,2.17524104093922,0.282213556386621,3.44287673120366e-16,1.16280016111018e-14
MSTRG.11039,19.5337328117448,2.8528489065732,0.506224194774396,2.13831951132433e-10,2.7206703569616e-09
MSTRG.11196,2.13430883288334,2.98136082419983,0.556549213014098,9.36605505147892e-10,1.04978297302464e-08
MSTRG.11201,2.5829582649229,2.61085053709582,0.627217361832262,4.44291270715341e-07,2.87617419106098e-06
MSTRG.11317,2.78904456349509,2.40803783696308,0.515253820394753,5.4801590476096e-08,4.28548437523071e-07
MSTRG.11391,8.24456312417449,3.28080493786543,0.596806646037893,3.72864230886643e-10,4.53413608994452e-09
MSTRG.11408,3.93552012614006,2.95113198833498,0.652554882496886,6.37990832058614e-08,4.91535793763385e-07
MSTRG.1141,5.0565804034386,2.95784474426593,0.735921878222515,5.72805144792339e-07,3.61854099857631e-06
MSTRG.11470,2.08272756118178,2.51739731779884,0.60041891814218,4.36612540824279e-07,2.8298393943383e-06
MSTRG.11476,1.71240764380149,2.1702600422786,0.663152306770874,2.83355200956527e-05,0.000121800802237804
MSTRG.11521,10.9670385855661,3.10133411171121,0.891890161075172,3.99983258909809e-06,2.09897009166454e-05
MSTRG.11528,88.8918837328972,2.99262771729054,0.332103316366454,2.70303697718841e-21,1.85669418311469e-19
MSTRG.11539,22.8985232094568,2.76599650824704,0.385375843926947,9.86738986643759e-15,2.66079271570834e-13
MSTRG.11562,1.86886910796547,2.94574922469124,0.601298365398881,1.04717693541029e-08,9.54120611730321e-08
MSTRG.11747,13.3472305342849,4.22930808173128,0.503682247951923,4.58641437259434e-19,2.45397307956811e-17
MSTRG.11757,60.0462349652521,2.18382390086609,0.204736514659653,3.91558247855341e-28,6.36892983631584e-26
MSTRG.11771,24.6234405992557,3.75637530417903,0.797065986813239,1.61219554290846e-08,1.40834198833146e-07
MSTRG.11775,29.61789018007,2.09157667272854,1.33988927580418,0.00246301530848371,0.00637814777457694
MSTRG.11796,12.9354158793276,2.01133834726581,0.2746974523683,8.81024518859129e-15,2.39959685431263e-13
MSTRG.11807,60.0877101841501,4.98758561752286,0.692221743000207,3.17442473460163e-15,9.30676333149537e-14
MSTRG.11817,5.35259636312323,2.06762977933928,0.343090596825719,5.41724741916932e-11,7.65682826044842e-10
MSTRG.1183,5.51326725056393,2.61361049219099,0.464626554109374,2.76191556339864e-10,3.4440519616695e-09
MSTRG.1184,1.79817347008315,3.49630197665559,0.703407213540229,5.36876260678891e-09,5.17212420380157e-08
MSTRG.11853,47.2916308025811,4.65111740682247,0.421951604032103,2.71727488194798e-30,5.81554030523855e-28
MSTRG.1186,6.51006433411364,2.41027488919695,0.339037039601905,2.23861678599902e-14,5.7001323096972e-13
MSTRG.1188,1.4299495410421,3.11007689176871,0.58214651004675,9.42473580429177e-10,1.05549024282283e-08
MSTRG.11889,14.483330629339,2.20125328028741,0.279320377837533,8.40080517064116e-17,3.11688267754519e-15
MSTRG.1189,0.798305207978835,2.16126523146186,0.679744000725991,3.98096937724463e-05,0.000164447520069358
MSTRG.11908,7.70626733398827,2.41031699284072,0.516737528135313,5.7070229931348e-08,4.44323919189802e-07
MSTRG.11910,1.87659254287667,2.70638649587663,0.54798356199872,1.04202641390043e-08,9.50066414682673e-08
MSTRG.12039,12.7120323044495,2.04622761348851,0.377128226107177,1.94183950617852e-09,2.03670264842e-08
MSTRG.12075,2.04484412664904,2.78732206710492,0.573965398379152,1.46751358949581e-08,1.29306549519518e-07
MSTRG.12136,222.022688782782,3.64753092831775,0.393178514497431,2.1697600881031e-22,1.77527412922786e-20
MSTRG.12137,8.46297082492708,4.90570204680755,0.512663794038055,7.75146975502427e-24,7.63210087453528e-22
MSTRG.12178,11.8575205599152,3.00900215215108,0.870310166268146,4.71104805158742e-06,2.42739556474596e-05
MSTRG.12196,1.58869698579174,2.13438323664567,0.498895476345144,5.37336115630586e-07,3.41997743089719e-06
MSTRG.12241,3.90973427709893,2.75971057591777,0.459066379775416,2.45264480208221e-11,3.70484205913339e-10
MSTRG.12262,5.60880902723089,2.64355099113243,0.78230697053457,9.45413703053897e-06,4.54370675109132e-05
MSTRG.12274,34.6304015357312,2.09853854814325,0.16992215447945,1.50706589284155e-36,5.57121158786443e-34
MSTRG.12277,1.6643765495893,2.02775779496042,0.533259142866559,4.99492245983167e-06,2.55649498938445e-05
MSTRG.12285,11.1081775937467,2.259898367073,0.67541886170224,1.86929462086339e-05,8.38810378093014e-05
MSTRG.12286,12.0773605291789,2.5544233871636,0.584990088542654,1.92041971420544e-07,1.33787814388299e-06
MSTRG.12326,3.33446084036522,4.27221220555165,0.76967015386722,1.79270161110176e-10,2.31013110617571e-09
MSTRG.1234,5.64489194241132,5.26136494297536,0.551797515468521,8.14633266152776e-24,8.00150896976727e-22
