baseMean,log2FoldChange,lfcSE,pvalue,padj
AATK,14.2716232753691,3.06973627119904,0.559198050227793,4.88187058996134e-10,2.02194284050037e-09
ABCA13,175.151720019143,4.87662048332235,0.386839031061462,9.82806729709565e-39,3.53506461851203e-37
ABCA7,1401.86599931091,2.32569955864698,0.21354827746511,4.17794080098008e-29,7.96548385498332e-28
ABCB11,7.30156179965742,5.62171839683063,0.755367762936025,7.07345809359786e-16,4.89474321470903e-15
ABCC2,8.1192583185819,2.13211630306489,0.561513612668673,6.64723613400562e-06,1.78237064798229e-05
ABHD12,537.818471937655,2.31176706429086,0.199650526459694,1.75742368492751e-32,4.30593485724163e-31
ABHD2,8106.10593660252,3.69968627800609,0.238173365074161,1.60213340050113e-56,1.81488423193132e-54
ABTB3,223.358977267513,2.33542308498353,0.324124853746981,1.85468316584086e-14,1.1354751607044e-13
ACOD1,1200.84289555149,3.4233421280344,0.37600011691264,8.58252029380192e-22,9.41648217140719e-21
ACTA2,16.8516209989057,4.68284553821826,0.492331622754907,8.52030014654337e-24,1.10428407174182e-22
ACTN4,4249.98090645553,2.54901777413109,0.240097294826628,6.26530254521597e-28,1.09737151507322e-26
ACVR1B,661.085665862951,3.25174303694969,0.277715810713749,1.46120842686024e-33,3.85057114902974e-32
ADAM19,4107.83323269214,2.45785594454927,0.213793849037685,3.83255790072639e-32,9.10885184988719e-31
ADAM8,790.999671977032,2.35815286771984,0.262017725972316,7.04396470575064e-21,7.18607978314736e-20
ADAMTS1,1.03317542919262,2.18333186483677,0.674848412367227,4.96370924480711e-05,0.000119338351399752
ADAMTS12,6.80063767602809,2.37031164245768,0.393237319302701,5.02789135908127e-11,2.2764486052212e-10
ADAMTS15,136.646109698093,4.13418785263496,0.598170297296408,2.3362230313622e-14,1.42054411927897e-13
ADAMTS3,25.6052591287895,5.12693951530717,0.829077511084314,2.86584586569821e-12,1.44535071197182e-11
ADAMTS5,2.3367774132854,3.32895341969984,0.806229620097217,2.88789067968836e-07,9.02530507115075e-07
ADGRB1,1.6205158409483,2.10988396372999,0.809936933617312,0.000417512158512332,0.000882634465008196
ADGRB2,26.7039908211838,2.00331367322792,0.314680790358956,1.12030379900978e-11,5.36619982804106e-11
ADGRE3,2242.1577445062,8.02366228502709,0.484745920099439,2.44364704916268e-63,4.22073492798445e-61
ADGRL3,2.69737516943253,3.68977850915092,0.802650208143787,2.4831620576612e-08,8.67068897035622e-08
ADGRV1,18.8981896883409,3.12785339539283,0.513806095235441,1.35797190129973e-11,6.46732727768871e-11
